2,12 Angry Men,tt0050083
5,2001: A Space Odyssey,tt0062622
8,21 Grams,tt0315733
11,300,tt0416449
13,3:10 to Yuma,tt0050086
16,A Christmas Carol,tt0291816
19,A Date With Judy,tt0040271
20,A Ghost Story,tt0100625
24,A Knight's Tale,tt0183790
25,A League of Their Own,tt0104694
26,A Million Ways to Die In the West,
31,A Walk Among the Tombstones,tt0365907
36,Aliens,tt0090605
38,American Pie,tt0163651
40,Angel Heart,tt0092563
46,Apocalypse Now (Final Cut),tt0078788
51,Austin Powers In Goldmember,tt0295178
52,Austin Powers: International Man of Mystery,tt0118655
53,Avatar,tt0499549
57,Back to the Future,tt0088763
58,Back to the Future Part II,tt0096874
59,Back to the Future Part III,tt0099088
62,Basic Instinct,tt0103772
63,Batman,tt0096895
64,Batman Begins,tt0372784
65,Batman Returns,tt0103776
69,Behind Enemy Lines,tt0159273
70,Beverly Hills Cop,tt0086960
73,Big Trouble In Little China,tt0090728
77,Black Swan,tt0947798
79,Blair Witch,tt0185937
81,Blow,tt0221027
83,Bombshell,tt0023825
87,Braveheart,tt0112573
88,Breakfast At Tiffany's,tt0054698
89,Bridesmaids,
96,By the Light of the Silvery Moon,tt0045586
97,Scenes by the Sea: Takeshi Kitano,tt0314617
105,Carrie,tt0074285
107,Casablanca,tt0034583
108,Casino,tt0112641
109,Cast Away,tt0162222
111,Charlie and the Chocolate Factory,tt0367594
112,Charlie's Angels,tt0305357
114,Chicago,tt0299658
115,Child's Play,tt0068369
116,Christine,tt0051477
117,Christmas With the Kranks,tt0388419
118,Cinderella,tt0218891
119,Clerks,tt0109445
121,Clueless,tt0112697
122,Coco,tt0353313
124,Constantine,tt0360486
127,Cool Hand Luke,tt0061512
129,Cowboys & Aliens,tt0409847
130,Crank,tt0479884
132,Crash,tt0115964
136,"Crouching Tiger, Hidden Dragon",tt0190332
138,Cujo,tt0085382
141,Dallas Buyers Club,tt0790636
147,Death Becomes Her,tt0104070
150,Deep Impact,tt0120647
152,Deliver Us from Evil,tt0066040
154,Die Another Day,tt0246460
155,Die Hard,tt0095016
156,Die Hard 2: Die Harder,tt0099423
157,Die Hard: With a Vengeance,tt0112864
159,Lisa Lampanelli: Dirty Girl,tt0887148
160,Dirty Grandpa,
163,Doctor Sleep,tt0286594
168,Dr. Seuss' Horton Hears a Who!,tt0451079
169,Dr. Seuss' How the Grinch Stole Christmas,tt0060345
171,Dracula Untold,tt0829150
174,Drugstore Cowboy,tt0097240
180,Duplex,tt0266489
181,E.T. The Extra-Terrestrial,tt0083866
182,Earth Girls Are Easy,tt0097257
185,Edward Scissorhands,tt0099487
187,The Elf Who Didn't Believe,tt0123055
191,Endless Love,tt0082329
193,Erin Brockovich,tt0195685
197,Eternal Sunshine of the Spotless Mind,tt0338013
200,Evil Dead 2,tt0203132
206,Fantasy Island,
207,Fast & Furious 6,
209,Ferris Bueller's Day Off,tt0091042
210,Fiddler On the Roof,tt0067093
214,Fight Club,tt0137523
215,Final Destination,tt0195714
216,Final Destination 2,tt0309593
217,Final Destination 3,tt0414982
219,Finding Nemo,tt0266543
223,Flightplan,tt0408790
224,Footloose,tt0087277
225,Forrest Gump,tt0109830
229,Friday,tt0240517
230,Friday the 13th,tt0080761
231,Friday the 13th Part 2,tt0082418
233,Friday the 13th: The Final Chapter,tt0087298
237,Furious 7,
241,Gangs of New York,tt0217505
243,Gentlemen Prefer Blondes,tt0045810
247,Ghost,tt0099653
248,Ghost in the Shell,tt0113568
249,Ghostbusters,tt0087332
251,Ghostbusters II,tt0097428
253,Gladiator,tt0104346
255,Glengarry Glen Ross,tt0104348
257,Godzilla,tt0831387
258,GoldenEye,tt0113189
260,Good Will Hunting,tt0119217
264,Grease,tt0077631
266,Gremlins,tt0087363
267,Groundhog Day,tt0107048
272,"Hail, Caesar!",tt0475290
273,Hall Pass,tt0480687
276,Hancock,tt0448157
282,Harold & Kumar Go to White Castle,tt0366551
283,Harry Potter and the Chamber of Secrets,tt0295297
284,Harry Potter and the Deathly Hallows – Part 1,tt0926084
285,"Harry Potter and the Deathly Hallows, Part 1",tt0926084
287,Harry Potter and the Goblet of Fire,tt0330373
288,Harry Potter and the Half-Blood Prince,tt0417741
289,Harry Potter and the Order of the Phoenix,tt0373889
290,Harry Potter and the Prisoner of Azkaban,tt0304141
291,Harry Potter and the Sorcerer's Stone,tt0241527
293,Hellboy,tt0167190
300,Holiday Inn,tt0034862
302,Home Alone,tt0099785
304,Hook,tt0102057
306,Horton Hears a Who!,tt0451079
307,Hot Tub Time Machine,
309,House Party,tt0099800
310,How the Grinch Stole Christmas: The Ultimate Edition,
312,Hugo,tt0970179
315,Ice Age,tt0268380
322,Independence Day,tt0116629
325,Indiana Jones and the Raiders of the Lost Ark,tt0082971
326,Indiana Jones and the Temple of Doom,tt0087469
328,Inglourious Basterds,tt0361748
334,Interstellar,tt0816692
335,Interview With the Vampire: The Vampire Chronicles,tt0110148
344,It's a Wonderful Life,tt0038650
346,Jack Reacher,tt0790724
351,Jaws,tt0073195
352,Jigsaw,tt0056121
359,Joyeux Noel,tt0424205
360,Jumanji,tt0113497
363,Jumper,tt0489099
364,Jurassic Park,tt0107290
365,Jurassic Park III,tt0362841
366,Jurassic World,tt0369610
369,Justice League,tt0974015
372,Kickboxer,tt0097659
373,Kill Bill: Volume 1,tt0266697
374,Kill Bill: Volume 2,tt0378194
385,Labyrinth,tt0091369
386,Lara Croft Tomb Raider: The Cradle of Life,tt0325703
387,Lara Croft: Tomb Raider,tt0146316
389,Legally Blonde,tt0250494
390,"Legally Blonde 2: Red, White and Blonde",tt0333780
391,Les misérables,tt0230534
393,Lethal Weapon,tt0093409
395,Liar Liar,tt0119528
399,Lincoln,tt0443272
401,Little Fockers,tt0970866
403,Live Free or Die Hard,tt0337978
409,Love Actually,tt0314331
415,Mad Max,tt0079501
423,Mamma Mia! The Movie,tt0795421
424,Man of Steel,tt0770828
425,Manhunter,tt0071809
427,Master and Commander: The Far Side of the World,tt0311113
429,Mean Girls,tt0377092
431,Meet Me In St. Louis,tt0037059
433,Memento,tt0209144
434,Men In Black,tt0119654
436,Men In Black II,tt0120912
441,Misery,tt0100157
442,Miss Congeniality,tt0212346
443,Miss Congeniality 2: Armed and Fabulous,tt0385307
450,"Monsters, Inc.",tt0198781
453,Mr. & Mrs. Smith,tt0356910
454,Mrs. Doubtfire,tt0107614
457,My Big Fat Greek Wedding,tt0259446
459,My Cousin Vinny,tt0104952
460,My Fair Lady,tt0058385
461,National Lampoon's Christmas Vacation,tt0097958
462,Needful Things,tt0107665
463,Neighbors,tt0011508
468,No Country for Old Men,tt0477348
477,"O Brother, Where Art Thou?",tt0190590
480,Ocean's Eleven,tt0240772
481,Ocean's Thirteen,tt0496806
482,Ocean's Twelve,tt0349903
485,One True Thing,tt0120776
489,Out of Africa,tt0089755
493,Pan's Labyrinth,tt0457430
494,Paranormal Activity 4,
495,Paranormal Activity: The Ghost Dimension (New Extended Cut),
497,Parasite,tt0084472
498,Passengers,tt0269697
501,Pay It Forward,tt0223897
504,Pet Sematary,tt0098084
505,Pi,tt0138704
511,"Planes, Trains and Automobiles",
512,Pleasantville,tt0120789
513,Poltergeist,tt0084516
514,Poltergeist II: The Other Side,tt0091778
517,Practical Magic,tt0120791
519,Prime,tt0387514
520,Prince of Persia: The Sands of Time,tt0473075
525,American Psycho,tt0144084
526,Pulp Fiction,tt0110912
527,Pumpkinhead,tt0095925
528,Puss In Boots,tt0448694
529,R.I.P.D.,tt0790736
530,Radio,tt0316465
532,Rambo,tt0462499
533,Rambo III,tt0095956
534,Rambo: First Blood,tt0089880
535,Rambo: First Blood Part II,tt0089880
537,Ran,tt0089881
539,Ratatouille,tt0382932
544,Red Dragon,tt0289765
548,Requiem for a Dream,
549,Reservoir Dogs,tt0105236
550,Resident Evil,tt0120804
552,Resident Evil: Apocalypse,tt0318627
553,Resident Evil: Extinction,tt0432021
556,Riddick (Unrated Director's Cut),
559,Rings,tt0498381
565,Roman Holiday,tt0046250
574,Saving Private Ryan,tt0120815
575,Saw,tt0387564
577,Saw II,tt0432348
578,Saw III,tt0489270
579,Saw IV,tt0890870
580,Saw The Final Chapter,
585,Schindler's List,tt0108052
587,Scream,tt0117571
594,Shakespeare in Love,tt0138097
595,Shaun of the Dead,tt0365748
596,Shazam!,tt0448115
598,Sherlock Holmes,tt0988045
599,Shrek,tt0126029
600,Shrek 2,tt0298148
601,Shrek Forever After,tt0892791
602,Shrek the Third,tt0413267
605,Silence,tt0490215
606,Silent Hill: Revelation,tt0938330
609,"Sin City: Recut, Extended, Unrated",
613,Sisters,
614,Sixteen Candles,tt0088128
618,Sleepy Hollow,tt0162661
621,Snitch,tt0882977
622,Snow White & the Huntsman,
628,Space Jam,tt0117705
629,Spaceballs,tt0094012
631,Speed,tt0111257
633,Spider-Man,tt0145487
634,Spider-Man 2,tt0316654
635,Spider-Man 3,tt0413300
